Date,open,high,low,등락율％,판매량억불,전월대비증감%,close
2015-01-01,36250,36950,35850,,26.6,,36350
2015-02-01,36000,36400,34900,-3.163686382,22.9,-13.90977444,35200
2015-03-01,31350,32200,31200,-9.517045455,26.2,14.41048035,31850
2015-04-01,31200,31300,30750,-3.296703297,26.9,2.671755725,30800
2015-05-01,30350,30450,29850,-2.597402597,26.7,-0.743494424,30000
2015-06-01,26800,27550,26750,-9.333333333,25.8,-3.370786517,27200
2015-07-01,24650,25150,24650,-8.455882353,25.6,-0.775193798,24900
2015-08-01,22950,23100,22200,-10.84337349,24.9,-2.734375,22200
2015-09-01,24400,24550,24000,9.009009009,24.5,-1.606425703,24200
2015-10-01,22700,24000,22650,-1.239669421,25.1,2.448979592,23900
2015-11-01,20900,21150,20500,-13.80753138,22,-12.35059761,20600
2015-12-01,24050,24650,23800,18.93203883,19.9,-9.545454545,24500
2016-01-01,23150,23400,22850,-6.326530612,18.2,-8.542713568,22950
2016-02-01,21450,21700,21200,-6.318082789,17.6,-3.296703297,21500
2016-03-01,24950,25150,24750,16.27906977,19.6,11.36363636,25000
2016-04-01,25800,25800,24600,0.2,19.5,-0.510204082,25050
2016-05-01,24650,24850,24400,-2.395209581,20.2,3.58974359,24450
2016-06-01,23750,24650,23700,0,19.3,-4.455445545,24450
2016-07-01,28650,29150,28500,18.200409,20.7,7.25388601,28900
2016-08-01,31200,31200,30300,5.363321799,23.2,12.07729469,30450
2016-09-01,28650,29000,27700,-8.374384236,23.5,1.293103448,27900
2016-10-01,29350,30000,29300,7.347670251,23.9,1.70212766,29950
2016-11-01,27400,27500,26500,-11.51919866,22.6,-5.439330544,26500
2016-12-01,30400,31200,30250,16.79245283,22.8,0.884955752,30950
2017-01-01,32150,32200,30600,-0.323101777,21.9,-3.947368421,30850
2017-02-01,28450,28500,27700,-9.724473258,21.2,-3.196347032,27850
2017-03-01,28000,28200,27800,0,23.4,10.37735849,27850
2017-04-01,30750,30950,30350,9.515260323,21.5,-8.11965812,30500
2017-05-01,29100,29150,28250,-5.573770492,22.8,6.046511628,28800
2017-06-01,37400,38150,36450,32.46527778,21.2,-7.01754386,38150
2017-07-01,36900,37000,35750,-5.766710354,22,3.773584906,35950
2017-08-01,30000,30100,29400,-17.66342142,25.6,16.36363636,29600
2017-09-01,33550,34450,33350,14.18918919,25.9,1.171875,33800
2017-10-01,29150,29700,29000,-12.72189349,24.9,-3.861003861,29500
2017-11-01,29300,29550,29000,-0.847457627,23.1,-7.228915663,29250
2017-12-01,30050,30400,30050,3.931623932,20.2,-12.55411255,30400
2018-01-01,28850,29050,28450,-4.605263158,20.2,0,29000
2018-02-01,30800,31050,30000,4.137931034,16.4,-18.81188119,30200
2018-03-01,28200,28400,28000,-7.119205298,19.6,19.51219512,28050
2018-04-01,24900,25200,24850,-11.0516934,18,-8.163265306,24950
2018-05-01,23450,23700,23100,-7.214428858,18.1,0.555555556,23150
2018-06-01,22150,22200,21100,-8.423326134,19,4.972375691,21200
2018-07-01,19850,20200,19850,-6.367924528,22.5,18.42105263,19850
2018-08-01,22050,22700,21750,13.09823678,26.7,18.66666667,22450
2018-09-01,20400,20650,20000,-10.46770601,22.8,-14.60674157,20100
2018-10-01,18200,18250,17600,-12.18905473,22.9,0.438596491,17650
2018-11-01,17550,18050,17550,1.133144476,20.8,-9.170305677,17850
2018-12-01,18300,18350,17650,0,19.8,-4.807692308,17850
2019-01-01,20000,20050,19750,11.76470588,18.7,-5.555555556,19950
2019-02-01,19400,19500,19050,-3.007518797,14.6,-21.92513369,19350
2019-03-01,21000,21150,20750,9.043927649,16.4,12.32876712,21100
2019-04-01,21950,22050,21650,4.028436019,16.4,0,21950
2019-05-01,17400,17900,17400,-18.90660592,15.6,-4.87804878,17800
2019-06-01,17050,17050,16900,-4.775280899,15.5,-0.641025641,16950
2019-07-01,17050,17150,16900,0,18.4,18.70967742,16950
2019-08-01,12700,12800,12550,-25.36873156,20.4,10.86956522,12650
2019-09-01,14850,14950,14600,18.18181818,18.9,-7.352941176,14950
2019-10-01,14400,14400,14150,-5.016722408,17.8,-5.82010582,14200
2019-11-01,14450,14600,14400,2.464788732,15.9,-10.6741573,14550
2019-12-01,15950,16450,15950,12.37113402,16.5,3.773584906,16350
2020-01-01,15700,15700,15400,-4.587155963,13.7,-16.96969697,15600
2020-02-01,15950,16000,15700,1.282051282,11.4,-16.78832117,15800
2020-03-01,11500,11650,10800,-31.64556962,14.3,25.43859649,10800
2020-04-01,11200,11300,11100,3.703703704,10,-30.06993007,11200
2020-05-01,10300,10350,10100,-9.375,11,10,10150
2020-06-01,11550,11950,11000,8.374384236,13,18.18181818,11000
2020-07-01,12650,12850,12500,15.45454545,13.2,1.538461538,12700
2020-08-01,13300,13950,13200,7.874015748,15.7,18.93939394,13700
2020-09-01,16600,16650,16050,18.61313869,18.5,17.8343949,16250
2020-10-01,16300,16350,15950,-0.615384615,18.7,1.081081081,16150
2020-11-01,14850,15050,14800,-7.430340557,19.3,3.20855615,14950
2020-12-01,16950,18100,16850,20.06688963,21.1,9.32642487,17950
